center,attempt_rows,candidate_count,execution_failure_count,candidate_readable_count,fixed_structure_match_success_count,anchor_integrity_success_count,old_clash_resolved_count,no_new_severe_clash_count,reliable_candidate_success_count,sample_reliable_success_count,top_failure_reasons
ligand,40,312,1,312,312,111,29,30,5,4,generated_atom_element_mismatch:old_atom=12:Z=7 (30); generated_atom_element_mismatch:old_atom=32:Z=9 (26); generated_atom_element_mismatch:old_atom=13:Z=7 (25); anchor_integrity (24); generated_atom_element_mismatch:old_atom=33:Z=9 (23)
pocket,40,312,1,312,312,141,23,25,12,7,generated_atom_element_mismatch:old_atom=33:Z=9 (31); generated_atom_element_mismatch:old_atom=13:Z=7 (27); generated_atom_element_mismatch:old_atom=32:Z=9 (25); generated_atom_element_mismatch:old_atom=12:Z=7 (24); generated_atom_element_mismatch:old_atom=31:Z=8 (20)
