case_id,oracle_split,injection_mode,target_rgroup,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_percentile,energy_delta_strict_pass,energy_delta_outlier_flag,ligand_valid,ligand_internal_severe_clash_count,target_num_severe_pairs,max_clash_depth,visual_qc_recommended,sample_path,failed_ligand_sdf
case_001485,supported_single_rgroup,torsion_perturb,R2,MMFF,927352205829.1721,927352205937.9181,108.7459716796875,0.742970297029703,False,abs_delta_ge_p95_or_50,True,0,3,0.9929090738296509,True,samples/case_001485.pkl,ligands/case_001485_failed.sdf
case_002557,invalid_conformer,easy_rotation,R7,MMFF,211.87917003481618,320.1417322066638,108.2625621718476,0.7425742574257426,False,abs_delta_ge_p95_or_50,False,3,0,0.0,True,samples/case_002557.pkl,ligands/case_002557_failed.sdf
case_000807,invalid_conformer,directed_clash,R1,MMFF,-500.6500468607243,-392.6608949846628,107.9891518760615,0.7421782178217822,False,abs_delta_ge_p95_or_50,False,4,3,0.7620550394058228,True,samples/case_000807.pkl,ligands/case_000807_failed.sdf
case_001917,supported_single_rgroup,torsion_perturb,R2,MMFF,926184912800.5178,926184912908.254,107.7362060546875,0.7417821782178218,False,abs_delta_ge_p95_or_50,True,0,3,0.9193994998931885,True,samples/case_001917.pkl,ligands/case_001917_failed.sdf
case_002540,invalid_conformer,easy_rotation,R6,MMFF,211.87917003481618,319.4635178089278,107.58434777411162,0.7411881188118812,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_002540.pkl,ligands/case_002540_failed.sdf
case_002556,invalid_conformer,directed_clash,R6,MMFF,211.87917003481618,319.4635178089278,107.58434777411162,0.7411881188118812,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_002556.pkl,ligands/case_002556_failed.sdf
case_001288,near_miss_contact,torsion_perturb,R6,MMFF,-514.3188730750378,-407.38360710286486,106.93526597217294,0.7405940594059406,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_001288.pkl,ligands/case_001288_failed.sdf
case_001167,invalid_conformer,directed_clash,R5,MMFF,-334.3458991947853,-227.8034019469854,106.54249724779993,0.7401980198019802,False,abs_delta_ge_p95_or_50,False,3,4,1.3386931419372559,True,samples/case_001167.pkl,ligands/case_001167_failed.sdf
case_001059,invalid_conformer,directed_clash,R4,MMFF,-512.0549629729375,-405.72278768844603,106.33217528449143,0.7396039603960396,False,abs_delta_ge_p95_or_50,False,3,0,0.12592434883117676,True,samples/case_001059.pkl,ligands/case_001059_failed.sdf
case_001045,invalid_conformer,easy_rotation,R4,MMFF,-512.0549629729375,-405.72278768844603,106.33217528449143,0.7396039603960396,False,abs_delta_ge_p95_or_50,False,3,0,0.12592434883117676,True,samples/case_001045.pkl,ligands/case_001045_failed.sdf
case_000142,near_miss_contact,directed_clash,R8,MMFF,609.3475443457789,715.5075644409276,106.16002009514864,0.739009900990099,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_000142.pkl,ligands/case_000142_failed.sdf
case_001005,invalid_conformer,directed_clash,R1,MMFF,-512.0549629729375,-406.16498615397154,105.88997681896592,0.7384158415841584,False,abs_delta_ge_p95_or_50,False,3,0,0.05961775779724121,True,samples/case_001005.pkl,ligands/case_001005_failed.sdf
case_000995,invalid_conformer,easy_rotation,R1,MMFF,-512.0549629729375,-406.16498615397154,105.88997681896592,0.7384158415841584,False,abs_delta_ge_p95_or_50,False,3,0,0.05961775779724121,True,samples/case_000995.pkl,ligands/case_000995_failed.sdf
case_001291,invalid_conformer,directed_clash,R6,MMFF,-514.3188730750378,-408.9606482796268,105.35822479541099,0.7376237623762376,False,abs_delta_ge_p95_or_50,False,1,12,1.92441987991333,True,samples/case_001291.pkl,ligands/case_001291_failed.sdf
case_001281,invalid_conformer,easy_rotation,R6,MMFF,-514.3188730750378,-408.9606482796268,105.35822479541099,0.7376237623762376,False,abs_delta_ge_p95_or_50,False,1,12,1.92441987991333,True,samples/case_001281.pkl,ligands/case_001281_failed.sdf
case_001200,invalid_conformer,directed_clash,R1,MMFF,-514.3188730750378,-410.3216062295526,103.99726684548523,0.737029702970297,False,abs_delta_ge_p95_or_50,False,4,1,0.8832025527954102,True,samples/case_001200.pkl,ligands/case_001200_failed.sdf
case_001863,supported_single_rgroup,torsion_perturb,R2,MMFF,928548059444.3755,928548059547.8628,103.4873046875,0.7366336633663366,False,abs_delta_ge_p95_or_50,True,0,1,0.5097498893737793,True,samples/case_001863.pkl,ligands/case_001863_failed.sdf
case_002024,supported_single_rgroup,torsion_perturb,R3,MMFF,927039772095.8596,927039772198.8015,102.94189453125,0.7362376237623762,False,abs_delta_ge_p95_or_50,True,0,1,0.911994457244873,True,samples/case_002024.pkl,ligands/case_002024_failed.sdf
case_001808,supported_single_rgroup,torsion_perturb,R3,MMFF,928166074597.43,928166074700.3448,102.914794921875,0.7358415841584158,False,abs_delta_ge_p95_or_50,True,0,1,0.9512790441513062,True,samples/case_001808.pkl,ligands/case_001808_failed.sdf
case_000897,invalid_conformer,directed_clash,R6,MMFF,-500.6500468607243,-398.75716526817996,101.89288159254431,0.7352475247524752,False,abs_delta_ge_p95_or_50,False,1,0,0.050232887268066406,True,samples/case_000897.pkl,ligands/case_000897_failed.sdf
case_000885,invalid_conformer,easy_rotation,R6,MMFF,-500.6500468607243,-398.75716526817996,101.89288159254431,0.7352475247524752,False,abs_delta_ge_p95_or_50,False,1,0,0.050232887268066406,True,samples/case_000885.pkl,ligands/case_000885_failed.sdf
case_002349,supported_single_rgroup,torsion_perturb,R2,MMFF,922050999583.6768,922050999685.4564,101.7796630859375,0.7346534653465346,False,abs_delta_ge_p95_or_50,True,0,2,1.0231057405471802,True,samples/case_002349.pkl,ligands/case_002349_failed.sdf
case_001972,near_miss_contact,torsion_perturb,R2,MMFF,930469012202.6069,930469012101.9714,-100.635498046875,0.7342574257425742,False,abs_delta_ge_p95_or_50,True,0,0,0.34654712677001953,True,samples/case_001972.pkl,ligands/case_001972_failed.sdf
