case_id,oracle_mask_size,predicted_mask_size,random_mask_size,abs_size_diff_random_vs_oracle,abs_size_diff_random_vs_predicted,random_mask_fallback_reason,injection_mode,difficulty_bin,base_split
case_002425,4,4,3,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002429,4,4,3,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002432,3,3,2,1,1,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_002435,3,3,2,1,1,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_002441,3,3,2,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002442,3,3,2,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002469,4,4,3,1,1,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_002474,4,4,3,1,1,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_002478,4,4,3,1,1,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_002479,4,4,3,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002483,4,4,3,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002486,3,3,2,1,1,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_002489,3,3,4,1,1,primary_exclude_oracle_and_predicted,easy_rotation,easy,train
case_002495,3,3,4,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002496,3,3,2,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002505,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_002518,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002543,5,5,5,0,0,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_002544,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_002546,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_002548,5,5,5,0,0,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_002552,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,medium,train
case_002555,5,5,5,0,0,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002561,6,6,5,1,1,primary_exclude_oracle_and_predicted,easy_rotation,medium,train
case_002562,6,6,5,1,1,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_002563,6,6,5,1,1,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_002573,6,6,5,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002585,7,7,8,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
case_002599,8,8,7,1,1,primary_exclude_oracle_and_predicted,torsion_perturb,medium,train
case_002602,8,8,7,1,1,primary_exclude_oracle_and_predicted,torsion_perturb,easy,train
case_002603,8,8,7,1,1,primary_exclude_oracle_and_predicted,directed_clash,easy,train
