candidate_budget_k,selected_case_denominator,attempt_rows,proposal_count_sum,candidate_count_sum,execution_failure_count,candidate_readable_count,fixed_structure_match_success_count,anchor_integrity_success_count,local_reconnect_pass_count,old_clash_resolved_count,no_new_severe_clash_count,reliable_candidate_success_count,sample_reliable_success_count,sample_reliable_repair_yield,reliable_candidate_rate,anchor_integrity_rate,local_reconnect_pass_rate,old_clash_resolved_rate,no_new_severe_clash_rate,runtime_sec_sum,cost_per_reliable_case
8,40,40,320,312,1,312,312,114,0,30,30,10,7,0.175,0.03205128205128205,0.36538461538461536,0.0,0.09615384615384616,0.09615384615384616,349.898480896838,45.714285714285715
16,40,40,640,624,1,624,624,217,0,61,66,14,7,0.175,0.022435897435897436,0.34775641025641024,0.0,0.09775641025641026,0.10576923076923077,462.216099944897,91.42857142857143
32,40,40,1280,1248,1,1248,1248,461,0,104,110,24,10,0.25,0.019230769230769232,0.36939102564102566,0.0,0.08333333333333333,0.08814102564102565,763.2587011642754,128.0
