case_id,view,contact_sheet_path,status,num_images
case_000093,overlay_surface,runs/phase2_visual_qc/case_000093/images/overlay_surface_contact_sheet.png,written,12
case_000095,clash_pair_vdw,runs/phase2_visual_qc/case_000095/images/clash_pair_vdw_contact_sheet.png,written,12
case_000095,ligand_delta,runs/phase2_visual_qc/case_000095/images/ligand_delta_contact_sheet.png,written,12
case_000095,overlay_sticks,runs/phase2_visual_qc/case_000095/images/overlay_sticks_contact_sheet.png,written,12
case_000095,overlay_surface,runs/phase2_visual_qc/case_000095/images/overlay_surface_contact_sheet.png,written,12
case_000102,clash_pair_vdw,runs/phase2_visual_qc/case_000102/images/clash_pair_vdw_contact_sheet.png,written,12
case_000102,ligand_delta,runs/phase2_visual_qc/case_000102/images/ligand_delta_contact_sheet.png,written,12
case_000102,overlay_sticks,runs/phase2_visual_qc/case_000102/images/overlay_sticks_contact_sheet.png,written,12
case_000102,overlay_surface,runs/phase2_visual_qc/case_000102/images/overlay_surface_contact_sheet.png,written,12
case_000109,clash_pair_vdw,runs/phase2_visual_qc/case_000109/images/clash_pair_vdw_contact_sheet.png,written,12
case_000109,ligand_delta,runs/phase2_visual_qc/case_000109/images/ligand_delta_contact_sheet.png,written,12
case_000109,overlay_sticks,runs/phase2_visual_qc/case_000109/images/overlay_sticks_contact_sheet.png,written,12
case_000109,overlay_surface,runs/phase2_visual_qc/case_000109/images/overlay_surface_contact_sheet.png,written,12
case_000120,clash_pair_vdw,runs/phase2_visual_qc/case_000120/images/clash_pair_vdw_contact_sheet.png,written,12
case_000120,ligand_delta,runs/phase2_visual_qc/case_000120/images/ligand_delta_contact_sheet.png,written,12
case_000120,overlay_sticks,runs/phase2_visual_qc/case_000120/images/overlay_sticks_contact_sheet.png,written,12
case_000120,overlay_surface,runs/phase2_visual_qc/case_000120/images/overlay_surface_contact_sheet.png,written,12
case_000163,clash_pair_vdw,runs/phase2_visual_qc/case_000163/images/clash_pair_vdw_contact_sheet.png,written,12
case_000163,ligand_delta,runs/phase2_visual_qc/case_000163/images/ligand_delta_contact_sheet.png,written,12
case_000163,overlay_sticks,runs/phase2_visual_qc/case_000163/images/overlay_sticks_contact_sheet.png,written,12
case_000163,overlay_surface,runs/phase2_visual_qc/case_000163/images/overlay_surface_contact_sheet.png,written,12
case_000202,clash_pair_vdw,runs/phase2_visual_qc/case_000202/images/clash_pair_vdw_contact_sheet.png,written,12
case_000202,ligand_delta,runs/phase2_visual_qc/case_000202/images/ligand_delta_contact_sheet.png,written,12
case_000202,overlay_sticks,runs/phase2_visual_qc/case_000202/images/overlay_sticks_contact_sheet.png,written,12
case_000202,overlay_surface,runs/phase2_visual_qc/case_000202/images/overlay_surface_contact_sheet.png,written,12
case_000210,clash_pair_vdw,runs/phase2_visual_qc/case_000210/images/clash_pair_vdw_contact_sheet.png,written,12
case_000210,ligand_delta,runs/phase2_visual_qc/case_000210/images/ligand_delta_contact_sheet.png,written,12
case_000210,overlay_sticks,runs/phase2_visual_qc/case_000210/images/overlay_sticks_contact_sheet.png,written,12
case_000210,overlay_surface,runs/phase2_visual_qc/case_000210/images/overlay_surface_contact_sheet.png,written,12
case_000717,clash_pair_vdw,runs/phase2_visual_qc/case_000717/images/clash_pair_vdw_contact_sheet.png,written,12
case_000717,ligand_delta,runs/phase2_visual_qc/case_000717/images/ligand_delta_contact_sheet.png,written,12
case_000717,overlay_sticks,runs/phase2_visual_qc/case_000717/images/overlay_sticks_contact_sheet.png,written,12
case_000717,overlay_surface,runs/phase2_visual_qc/case_000717/images/overlay_surface_contact_sheet.png,written,12
case_000718,clash_pair_vdw,runs/phase2_visual_qc/case_000718/images/clash_pair_vdw_contact_sheet.png,written,12
case_000718,ligand_delta,runs/phase2_visual_qc/case_000718/images/ligand_delta_contact_sheet.png,written,12
case_000718,overlay_sticks,runs/phase2_visual_qc/case_000718/images/overlay_sticks_contact_sheet.png,written,12
case_000718,overlay_surface,runs/phase2_visual_qc/case_000718/images/overlay_surface_contact_sheet.png,written,12
case_000818,clash_pair_vdw,runs/phase2_visual_qc/case_000818/images/clash_pair_vdw_contact_sheet.png,written,12
case_000818,ligand_delta,runs/phase2_visual_qc/case_000818/images/ligand_delta_contact_sheet.png,written,12
case_000818,overlay_sticks,runs/phase2_visual_qc/case_000818/images/overlay_sticks_contact_sheet.png,written,12
case_000818,overlay_surface,runs/phase2_visual_qc/case_000818/images/overlay_surface_contact_sheet.png,written,12
case_000834,clash_pair_vdw,runs/phase2_visual_qc/case_000834/images/clash_pair_vdw_contact_sheet.png,written,12
case_000834,ligand_delta,runs/phase2_visual_qc/case_000834/images/ligand_delta_contact_sheet.png,written,12
case_000834,overlay_sticks,runs/phase2_visual_qc/case_000834/images/overlay_sticks_contact_sheet.png,written,12
