case_id,view,angle,script_path,image_path,status,returncode,stderr_tail,camera_score,camera_focus,camera_target,camera_target_mode,displacement_axis_angle_degrees,displacement_axis_angle_gate_pass,ligand_occluded_fraction,center_line_blocked,camera_direction,camera_selection_tier,candidate_directions,interest_occluded_fraction,key_occluded_fraction,projection_area_score,interest_area_score,render_action
case_000001,clash_pair_vdw,clear_12,runs/phase2_visual_qc/case_000001/scripts/clash_pair_vdw_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/clash_pair_vdw_clear_12.png,rendered,0,,7.415155,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,77.2985,True,0.0,False,"0.351563,0.524414,-0.775496",strict,1024,0.08,0.148148,0.608971,0.618398,existing_before_incremental
case_000001,ligand_delta,clear_01,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_01.png,rendered,0,,6.0,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,39.605389,True,0.0,False,"-0.074527,-0.981445,0.176666",strict,1024,0.0,0.0,1.0,1.0,existing_before_incremental
case_000001,ligand_delta,clear_02,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_02.png,rendered,0,,5.984383,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,38.988339,True,0.0,False,"-0.130269,0.991211,-0.023043",strict,1024,0.0,0.0,0.997397,0.997397,existing_before_incremental
case_000001,ligand_delta,clear_03,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_03.png,rendered,0,,5.366379,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,62.789327,True,0.0,False,"0.522578,-0.836914,0.162747",strict,1024,0.0,0.0,0.894396,0.894396,existing_before_incremental
case_000001,ligand_delta,clear_04,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_04.png,rendered,0,,5.328952,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,33.098375,True,0.0,False,"0.235613,-0.881836,-0.408475",strict,1024,0.0,0.0,0.888159,0.888159,existing_before_incremental
case_000001,ligand_delta,clear_05,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_05.png,rendered,0,,4.981516,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,58.883564,True,0.0,False,"0.234013,0.805664,-0.544191",strict,1024,0.0,0.0,0.830253,0.830253,existing_before_incremental
case_000001,ligand_delta,clear_06,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_06.png,rendered,0,,4.939155,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,33.982718,True,0.0,False,"-0.226557,0.772461,0.593276",strict,1024,0.0,0.0,0.823192,0.823192,existing_before_incremental
case_000001,ligand_delta,clear_07,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_07.png,rendered,0,,4.816923,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,72.985615,True,0.0,False,"-0.621251,0.735352,-0.270749",strict,1024,0.0,0.0,0.802821,0.802821,existing_before_incremental
case_000001,ligand_delta,clear_08,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_08.png,rendered,0,,4.628501,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,74.641009,True,0.0,False,"-0.021531,-0.684570,0.728629",strict,1024,0.0,0.0,0.771417,0.771417,existing_before_incremental
case_000001,ligand_delta,clear_09,runs/phase2_visual_qc/case_000001/scripts/ligand_delta_clear_01_clear_12.cxc,runs/phase2_visual_qc/case_000001/images/ligand_delta_clear_09.png,rendered,0,,3.838873,"69.883083,100.275635,8.974083","69.883083,100.275635,8.974083",rgroup_displacement_midpoint,31.085291,True,0.0,False,"-0.690242,-0.721680,-0.052386",strict,1024,0.0,0.0,0.639812,0.639812,existing_before_incremental
